COICOP,LVL,Dénomination, Benaming,Pond.2006,Pond.2008,Pond.2010,Pond.2014,jan-06,feb-06,mrt-06,apr-06,mei-06,jun-06,jul-06,aug-06,sep-06,okt-06,nov-06,dec-06,jan-07,feb-07,mrt-07,apr-07,mei-07,jun-07,jul-07,aug-07,sep-07,okt-07,nov-07,dec-07,jan-08,feb-08,mrt-08,apr-08,mei-08,jun-08,jul-08,aug-08,sep-08,okt-08,nov-08,dec-08,jan-09,feb-09,mrt-09,apr-09,mei-09,jun-09,jul-09,aug-09,sep-09,okt-09,nov-09,dec-09,jan-10,feb-10,mrt-10,apr-10,mei-10,jun-10,jul-10,aug-10,sep-10,okt-10,nov-10,dec-10,jan-11,feb-11,mrt-11,apr-11,mei-11,jun-11,jul-11,aug-11,sep-11,okt-11,nov-11,dec-11,jan-12,feb-12,mrt-12,apr-12,mei-12,jun-12,jul-12,aug-12,sep-12,okt-12,nov-12,dec-12,jan-13,feb-13,mrt-13,apr-13,mei-13,jun-13,jul-13,aug-13,sep-13,okt-13,nov-13,dec-13,jan-14,feb-14,mrt-14,apr-14,mei-14,jun-14,jul-14,aug-14
-,0,Indice des prix à la consommation,Consumptieprijsindex,1000,1000,1000,1000,84.54,84.91,84.88,85.29,85.61,85.60,85.89,86.00,85.75,85.58,85.79,85.91,85.95,86.41,86.42,86.81,86.71,86.70,87.07,86.96,87.04,87.50,88.32,88.56,88.92,89.56,90.21,90.42,91.23,91.73,92.21,91.65,91.80,91.63,91.09,90.89,90.98,91.29,90.77,90.96,90.89,90.72,90.66,90.94,90.70,90.74,90.98,91.13,91.54,91.93,92.27,92.59,92.96,92.95,92.99,93.05,93.34,93.47,93.59,93.96,94.49,95.04,95.52,95.75,96.07,96.37,96.48,96.40,96.66,96.81,97.19,97.23,97.94,98.52,98.73,98.80,98.77,98.54,98.72,99.15,99.32,99.50,99.39,99.40,99.37,99.69,99.83,99.79,99.94,100.11,100.21,100.15,100.21,100.13,100.20,100.36,100.50,100.66,100.72,100.41,100.30,100.38,100.55,100.17
-,0,Indice santé,Gezondheidsindex,924.78,924.78,924.78,927.85,85.13,85.54,85.47,85.78,86.07,86.05,86.32,86.43,86.41,86.38,86.59,86.68,86.87,87.32,87.13,87.42,87.22,87.17,87.52,87.49,87.53,87.93,88.54,88.96,89.30,90.01,90.52,90.64,91.25,91.59,92.09,91.81,92.03,92.15,91.98,92.11,92.28,92.53,91.97,92.05,91.87,91.49,91.48,91.63,91.46,91.61,91.70,91.87,92.21,92.65,92.83,93.02,93.33,93.35,93.45,93.51,93.80,93.94,94.02,94.26,94.71,95.26,95.54,95.69,96.03,96.40,96.55,96.45,96.65,96.84,97.21,97.31,97.91,98.51,98.54,98.52,98.66,98.53,98.71,98.92,98.96,99.25,99.32,99.41,99.36,99.58,99.77,99.77,100.03,100.20,100.24,100.10,100.03,100.18,100.29,100.41,100.60,100.75,100.79,100.44,100.29,100.34,100.46,100.12
01,1,Produits alimentaires et boissons non alcoolisées,Voeding en niet-alcoholische dranken,173.80,173.80,173.80,167.13,78.89,79.47,79.57,80.17,81.12,80.72,80.86,81.10,81.77,81.61,82.42,81.86,82.73,82.85,82.77,84.04,83.29,83.43,83.76,83.32,83.85,84.91,85.97,86.52,87.36,87.51,87.93,89.03,89.64,89.35,90.06,89.35,89.38,89.74,89.62,89.68,90.80,90.69,90.55,90.75,90.58,89.75,89.34,88.91,88.74,89.07,89.31,89.21,90.36,90.67,91.21,91.35,91.62,91.28,91.17,91.13,91.55,91.62,91.73,91.91,92.50,92.93,92.77,93.42,93.82,94.02,94.13,93.70,93.84,94.22,95.03,95.03,95.25,96.11,96.16,96.10,96.52,96.35,96.35,96.66,96.86,97.84,98.04,98.06,98.79,99.38,99.75,100.40,100.97,101.16,100.42,99.88,99.80,99.78,99.78,99.89,100.38,100.10,100.02,101.15,100.02,99.99,100.14,98.93
01.1,2,Produits alimentaires,Voeding,156.60,156.60,156.60,150.06,78.60,79.19,79.29,79.86,80.85,80.40,80.55,80.78,81.50,81.34,82.19,81.60,82.54,82.63,82.46,83.81,82.93,83.05,83.43,82.93,83.46,84.61,85.80,86.36,87.26,87.34,87.81,88.95,89.60,89.26,90.05,89.26,89.24,89.64,89.50,89.57,90.76,90.61,90.48,90.73,90.58,89.69,89.25,88.77,88.53,88.88,89.18,89.10,90.33,90.62,91.22,91.39,91.72,91.32,91.10,91.05,91.45,91.53,91.63,91.78,92.32,92.80,92.65,93.35,93.63,93.76,93.83,93.37,93.41,93.84,94.66,94.65,94.91,95.81,95.87,95.84,96.31,96.17,96.16,96.48,96.61,97.68,97.83,97.88,98.63,99.25,99.64,100.47,101.12,101.33,100.50,99.93,99.81,99.74,99.72,99.87,100.39,100.09,100.03,101.20,99.96,99.94,100.01,98.69
01.1.1,3,Pain et céréales,Brood en granen,31.04,31.04,31.04,29.30,74.06,74.53,74.81,75.09,75.38,75.57,75.76,75.97,76.04,76.22,76.54,76.76,77.34,78.15,78.31,78.71,78.68,78.85,78.97,79.47,80.60,82.24,83.25,84.55,85.91,86.84,87.44,87.79,88.08,88.38,88.53,88.79,88.85,89.26,89.31,89.39,89.76,89.94,89.99,90.08,89.95,90.20,89.70,89.50,89.25,89.13,89.07,89.06,89.15,89.38,89.40,89.51,89.62,89.65,89.68,89.92,90.26,90.89,91.08,91.13,91.83,92.66,93.45,93.95,94.12,94.31,94.25,94.51,94.58,94.85,95.31,95.75,96.06,96.40,96.57,96.47,96.34,96.22,96.20,96.71,97.05,97.82,98.22,98.50,98.94,99.50,99.89,100.00,100.10,100.16,100.05,100.03,100.00,100.32,100.53,100.49,100.38,100.22,100.50,100.57,100.60,100.23,100.29,100.01
01.1.1.1,4,Riz,Rijst,0.38,0.38,0.38,0.43,78.25,77.24,76.68,76.29,76.10,75.77,75.60,75.57,75.89,76.04,76.89,77.00,79.09,80.84,81.82,82.12,81.01,82.22,81.97,82.42,82.77,82.46,83.35,84.27,87.34,91.03,93.52,94.24,94.92,95.49,96.55,98.07,102.87,104.12,103.49,103.31,103.92,103.69,103.41,102.83,103.00,103.42,102.57,102.72,102.22,102.32,102.48,101.56,101.02,101.41,100.74,99.76,99.76,99.17,99.11,99.69,99.40,99.79,99.72,98.74,98.26,97.31,96.73,96.18,95.92,96.13,95.64,94.52,94.31,96.05,96.17,95.14,95.37,96.50,96.79,96.23,96.00,95.21,94.77,96.84,99.06,100.36,100.09,100.03,100.49,101.00,102.11,101.59,100.81,100.86,99.57,100.21,99.68,98.38,97.93,97.37,99.08,99.15,99.44,99.48,99.62,98.95,99.42,99.84
01.1.1.2,4,Farines et autres céréales,Meel en andere granen,0.56,0.56,0.56,0.79,52.86,53.16,53.30,53.31,54.06,54.36,54.64,54.74,54.83,54.47,55.50,55.72,58.45,59.70,60.07,60.19,60.20,59.60,59.93,60.07,62.11,64.94,68.16,73.40,78.39,78.65,81.82,81.86,81.48,83.08,85.24,85.93,85.76,85.33,81.99,79.82,81.63,80.67,80.69,79.82,79.74,79.53,79.62,79.62,79.30,79.06,78.22,77.45,77.70,77.37,78.26,77.92,79.61,80.77,81.37,81.33,80.95,81.57,80.38,82.08,86.91,98.03,100.37,100.59,100.04,101.19,101.66,102.14,101.78,103.32,106.85,106.23,107.09,105.61,104.58,96.73,97.85,97.76,98.34,99.26,100.63,99.95,102.96,102.13,102.78,101.89,102.53,101.62,103.25,102.01,101.34,99.86,97.47,96.22,96.20,94.83,94.11,90.89,92.40,91.14,91.97,91.72,91.45,91.47
01.1.1.3,4,Pain,Brood,11.65,11.65,11.65,10.42,75.99,76.31,76.51,76.75,77.23,77.22,77.25,77.36,77.57,77.88,78.29,78.42,78.96,79.85,80.05,80.16,80.29,80.36,80.48,80.95,82.30,84.81,85.40,86.13,87.02,87.38,87.50,87.91,88.06,88.09,88.16,88.33,88.52,88.96,89.26,89.34,89.09,89.25,89.31,89.28,89.32,89.47,89.59,89.62,89.71,89.90,90.04,90.05,90.18,90.50,90.63,90.75,90.76,90.67,90.50,90.80,91.22,92.19,92.51,92.67,93.75,94.10,94.96,95.21,95.33,95.43,95.44,95.64,95.80,95.87,95.98,96.07,96.23,96.32,96.55,96.73,96.61,96.64,96.86,97.02,97.22,98.10,98.46,98.60,98.78,99.13,99.48,99.62,99.68,99.95,100.12,100.25,100.47,100.70,100.88,100.95,100.92,101.12,101.19,101.28,101.28,101.30,101.30,101.36
01.1.1.4,4,Autres produits de boulangerie,Andere bakkerijproducten,12.02,12.02,12.02,11.55,72.65,73.07,73.59,73.76,73.98,74.12,74.19,74.25,74.35,74.60,74.99,75.15,75.46,76.33,76.49,77.04,77.20,77.32,77.34,77.44,78.00,78.98,80.19,80.79,81.30,81.96,82.24,82.58,82.73,82.96,82.84,83.18,83.40,83.65,83.95,83.97,84.59,84.99,85.15,85.47,85.39,85.76,85.63,85.63,85.57,85.70,85.73,85.93,86.12,86.41,86.49,86.64,86.74,86.87,86.98,87.25,87.87,88.44,88.56,88.49,89.03,89.49,90.06,91.47,91.96,92.27,92.21,92.81,92.91,93.37,93.91,94.34,94.44,94.73,95.17,95.32,95.41,95.55,95.37,96.14,96.44,96.82,96.95,97.06,97.57,98.25,98.92,99.31,99.86,100.07,100.23,100.48,100.67,101.24,101.68,101.71,101.66,101.56,102.06,102.33,102.38,102.02,102.19,101.74
01.1.1.5,4,Pizza et quiche,Pizza en quiche,1.77,1.77,1.77,1.73,92.09,93.77,94.44,94.91,94.78,94.51,94.36,96.60,96.72,96.71,97.44,97.83,98.92,97.98,98.76,99.76,99.87,100.09,100.07,99.46,100.40,101.25,102.29,102.10,105.91,108.95,110.07,109.92,109.87,110.54,110.79,110.32,110.76,110.24,110.27,110.11,110.39,111.05,110.85,110.24,108.70,109.93,109.53,109.83,107.86,104.61,103.61,103.11,102.59,102.91,101.94,101.80,102.25,102.60,102.49,102.13,100.76,100.86,101.12,100.74,99.99,99.39,99.52,99.21,99.38,99.37,99.38,99.26,99.36,99.20,98.53,98.65,99.15,100.17,99.98,100.07,99.94,100.05,99.13,98.74,98.64,98.44,98.81,98.88,99.63,100.08,100.07,100.55,99.98,99.89,99.86,99.61,100.12,100.24,100.10,99.86,97.99,97.57,98.28,97.97,97.99,97.84,97.33,96.70
